Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
15.tra;UTO;ćevapi;900;protein puding + kobasice i satrica;1030;keksi + sendviči + čokolino;1350;3280;2200;11k + koldovr;810;;;;;;
16.tra;SRI;sendviči + nutella send.;1200;varivo i faširanci;750;sendvič + čokolino;750;2700;2200;2k koraka;140;;;;;;
17.tra;ČET;sendviči;750;b.meso + pire;935;sendviči + jabuka;980;2665;2200;1k koraka;80;;;;;;
18.tra;PET;sendviči + čoko;1100;fiš;600;sendviči + čokolino;1150;2850;2200;1k koraka;90;;;;;;
19.tra;SUB;sendviči;900;paprikaš + kolači;1620;bananko + sendviči;1600;4120;2500;4k koraka;340;;;;;;
20.tra;NED;uskršnji doručak;900;b.meso i pire;1000;sok + sendviči + jabuka;1260;3160;2500;2k koraka;180;120 kg;;;;;
21.tra;PON;klipići i ostaci;800;b.meso + pire;860;kiflice;850;2510;2200;4k + kolodvor;370;;;;;;
22.tra;UTO;sendviči;790;gulaš;660;čevapi + domaćica;1700;3150;2200;11k koraka;690;;;;;;
23.tra;SRI;sendvič;350;bečki i tjestenina;845;sendviči;790;1985;2200;8k koraka;500;;;;;;
24.tra;ČET;sendviči + jogurt;790;fanta + palačinke s uskršnjim ostacima;960;sendviči + čokolada;1510;3260;2200;9k + kolodvor;670;;;;;;
25.tra;PET;sendviči + kuglice;900;sok + varivo i kobasica + čoko;1760;sendviči;700;3360;2200;7k koraka;450;;;;;;
26.tra;SUB;sendviči + cola;900;kiflice;900;kanapei;800;2600;2500;1k koraka;100;;;;;;
27.tra;NED;sendvič + kuglice + bananan;640;b.meso + riža + čokolada;1085;sendviči + kuglice;1120;2845;2500;1k + usis.;120;118 kg;;;;;
28.tra;PON;forneti + čokolada;1020;kuglice + burek + nutella send.;1410;sendviči;750;3180;2200;6k + kolodvor;440;;;;;;
29.tra;UTO;sendviči + čips;1600;/;0;pizza + domaćica;1750;3350;2200;10k koraka;630;;;;;;
30.tra;SRI;sendviči;700;chilli con carne + sladoled;1560;chilli con carne + čoko + topli send.;1380;3640;2200;15k + dom;1010;;;;;;
1.svi;ČET;topli sendviči;750;roštilj + kolači;2100;sok + kiflice;600;3450;2200;1k koraka;120;;;;;;
2.svi;PET;sendvič + kuglice + sladoled;750;mučkalica + sladoled;960;mučkalica + keksi;1060;2770;2200;4k koraka;290;;;;;;
3.svi;SUB;sendviči;900;kopićland;1850;čips + topli sendviči + sladoled;1800;4550;2200;2k koraka;130;;;;;;
4.svi;NED;sendviči;800;ossobuco + pire;880;sladoled + sendviči;1700;3380;2200;4k + bazga;330;118 kg;;;;;
5.svi;PON;tost sendviči + keksi;1750;bolonjez;1320;tost sendviči + sladoled;1100;4170;2200;2k + bazga;170;;;;;;
6.svi;UTO;sendviči;700;bolonjez;600;čips + pizza;2160;3460;2200;5k + kolodvor;390;;;;;;
7.svi;SRI;sendviči;790;ćevapi + kruh + mesna štruca;1550;čips + čokoladno mlijeko;900;3240;2200;6k koraka;400;;;;;;
8.svi;ČET;sendviči + corndon sendvič;1190;b.meso + krumpir;1365;sendviči;1000;3555;2200;7k + kolodvor;550;;;;;;
9.svi;PET;sendviči;700;pizza + čips malo;1440;topli sendviči;850;2990;2200;4k koraka;290;;;;;;
10.svi;SUB;sendviči;750;b.meso pohano i rizibizi;1170;banana + kuglice + sendviči;1180;3100;2500;2k koraka;130;;;;;;
11.svi;NED;sendviči;750;b.meso + krumpir;1200;kuglice + sendviči;1050;3000;2500;1k koraka;60;119,5 kg;;;;;
12.svi;PON;forneti + tost + cola;1950;rižoto s ostacima;660;sladoled + čips;1210;3820;2200;10k koraka;640;;;;;;
13.svi;UTO;forneti + cola;900;faširanci + varivo od mahuna;1210;sendviči + sladoled;1050;3160;2200;3k koraka;210;;;;;;
14.svi;SRI;sendviči;850;sladoled + lungić i umak s kruhom;1050;sendviči + sladoled;1050;2950;2200;2k koraka;140;;;;;;
15.svi;ČET;sendviči;750;ono kinesko;1100;pizza + sladoled;1550;3400;2200;1k koraka;90;;;;;;
16.svi;PET;sendviči + keksi;1050;som i restani;900;sendviči + sladoled;1260;3210;2200;1k koraka;60;;;;;;
17.svi;SUB;sendviči + pahuljice;1050;grah + sladoled;870;sendviči + pahuljice;1050;2970;2500;1k koraka;110;;;;;;
18.svi;NED;sendviči;750;tortilje + sladoled;1800;kiflice;1000;3550;2500;3k koraka;190;120 kg;;;;;
19.svi;PON;sendviči + pahuljice;920;kobasica + grašak;990;sendviči + pahuljice;1210;3120;2200;1k koraka;120;;;;;;
20.svi;UTO;sendviči;750;b.meso + riža;985;sendviči + čips;1660;3395;2200;3k + kolodvor;280;;;;;;
21.svi;SRI;/;0;gauda čevapi;1350;kfc + torta + sok;2000;3350;2200;12k koraka;780;;;;;;
22.svi;ČET;hambi + sladoled;1070;špageti;1320;tortilje ostaci + pahuljice;1100;3490;2200;7k + kolodvor;510;;;;;;
23.svi;PET;sendviči + lino lada + tost + sladoled;1750;minutni + pire;780;sendviči + čips;1230;3760;2200;4k koraka;310;;;;;;
24.svi;SUB;sendviči;750;kuglice + sataraš + kruh;960;sendviči + pahuljice;1050;2760;2500;1k + usis.;150;;;;;;
25.svi;NED;sendviči;750;roštilj;1500;pahuljice;260;2510;2500;2k + roštilj;230;120 kg;;;;;
26.svi;PON;roštilj ostaci + grickalice;1080;orada + restani malo;320;sendviči ;750;2150;2200;1k koraka;70;;;;;;
27.svi;UTO;tost sendviči;1000;b.meso + kroketi;1040;sendviči + napolitanke;1350;3390;2200;1k koraka;80;;;;;;
28.svi;SRI;sendviči;750;lisnato s hrenovkom;900;sendviči + napolitanke;1100;2750;2200;8k koraka;520;;;;;;
29.svi;ČET;sendviči + napolitanke;1050;burek;900;sendviči + burek + napolitanke;1650;3600;2200;2k koraka;130;;;;;;
30.svi;PET;sendviči + napolitanke;1050;granatir + napolitanke;1400;granatir ostaci + sendviči;1250;3700;2200;1k koraka;60;;;;;;
31.svi;SUB;sendviči + napolitanke;1150;šakšuka;825;sendviči;750;2725;2500;3k + usis.;250;;;;;;
1.lip;NED;sendviči;750;paprikaš;1320;sendviči;750;2820;2500;5k + kolodvor;370;121 kg;;;;;
2.lip;PON;sendviči + sladoled + cola;1210;tortlija ostaci;600;sendviči;750;2560;2200;6k + kolodvor;400;;;;;;
3.lip;UTO;sendviči;900;somun i kobase;900;sendviči + čips;1560;3360;2200;3k koraka;240;;;;;;
4.lip;SRI;gauda čevapi;1250;b.meso i sos;680;sendviči;750;2680;2200;7k koraka;430;;;;;;
5.lip;ČET;sendviči + nutella + sladoled;1200;palačinke iz rerne;700;sendviči;600;2500;2200;1k koraka;90;;;;;;
6.lip;PET;topli sendviči;1500;fiš + sladoled + ceda;1060;sendviči + čips + jogurt;1730;4290;2200;2k koraka;180;;;;;;
7.lip;SUB;sendviči;750;tortilje + banana bread;1510;tortilje + banana bread + čips;2210;4470;2500;1k koraka;100;;;;;;
8.lip;NED;sendviči + banana bread;800;lađice + banana bread;1100;lađice + sok+ sendviči;1700;3600;2500;1k koraka;70;121 kg;;;;;
9.lip;PON;/;0;pizza + sok;1620;banana bread + sendviči;800;2420;2200;11k + pakiranje;720;;;;;;
10.lip;UTO;sendviči + banana bread;1500;varivo i faširanci;660;faširanci sendviči;750;2910;2200;1k + usis.;110;;;;;;
11.lip;SRI;faširanci sendviči;1340;b.meso i riža;720;sladoled + sendviči;950;3010;2200;1k koraka;60;;;;;;
12.lip;ČET;sendviči;700;kobasica + grašak + sladoled;1050;sendviči + kuglice;1200;2950;2200;1k koraka;60;;;;;;
13.lip;PET;sendviči + malo sladoleda;1180;indeks sendviči + kolač;1650;sendviči + sladoled;990;3820;2200;3k koraka;180;;;;;;
14.lip;SUB;jaje sendvič + sladoled;750;alfredo piletina s tjesteninom;1320;cola + alfredo ostaci + sendviči;1270;3340;2500;2k koraka;190;;;;;;
15.lip;NED;sendviči;750;minutni + pommes;1100;sendviči + cola;1050;2900;2500;1k koraka;60;121 kg;;;;;
16.lip;PON;jaje sendvič;450;b.meso u kornfleksu + pire;1200;sendviči s b.mesom;800;2450;2200;2k koraka;140;;;;;;
17.lip;UTO;/;0;cordon i riža;550;čufte i kruh;1250;1800;2200;10k koraka;670;;;;;;
18.lip;SRI;sendviči;700;čufte i kruh;1250;čips + lidl lisnato;1840;3790;2200;2k koraka;180;;;;;;
19.lip;ČET;sendviči;950;pizza;1350;ceda + čips + nutella tost;1050;3350;2200;1k koraka;100;;;;;;
20.lip;PET;lisnato lidl + gumeni;800;čufte i kruh;1250;gumeni + sendviči + čips + nutella tost;2380;4430;2200;2k koraka;140;;;;;;
21.lip;SUB;sendviči;750;pizza;1250;sendviči ;900;2900;2500;1k koraka;60;;;;;;
22.lip;NED;sendviči;750;bolonjez;1320;bolonjez + kokice + ćevapi;1930;4000;2500;1k koraka;100;123 kg;;;;;
23.lip;PON;lisnato lidl + gumeni;1160;bolonjez;1320;keksi + sendviči;1370;3850;2200;3k koraka;220;;;;;;
24.lip;UTO;topli sendviči + keksi;950;b.meso + rižoto + nutella tost;1200;čips + sendviči;1600;3750;2200;1k koraka;60;;;;;;
25.lip;SRI;sendviči;750;paprikaš;880;sendviči + čips + tost;1860;3490;2200;2k koraka;130;;;;;;
26.lip;ČET;topli sendviči;825;dumplings + čoko kuglice;1330;dumplings + keksi;840;2995;2200;1k koraka;100;;;;;;
27.lip;PET;pohani kruh;850;varivo i kobasica;865;svatovi;2000;3715;2200;2k koraka;130;;;;;;
28.lip;SUB;/;0;pizza;1350;kiflice + sok + čips + sendviči;1900;3250;2500;3k + usis.;290;;;;;;
29.lip;NED;kiflice;120;b.meso i krumpir + čips;1910;sendviči + sladoled;1100;3130;2500;1k koraka;120;123 kg;;;;;
30.lip;PON;sendviči;900;palačinke ;660;sendviči + čokolada;1050;2610;2200;1k koraka;100;;;;;;
1.srp;UTO;sendviči + čokolada;950;kobascia + pire;900;sendviči + sladoled;1150;3000;2200;1k koraka;80;;;;;;
2.srp;SRI;sendviči;750;burek sa sirom + sladoled;700;sendviči + nutella tost;1150;2600;2200;1k koraka;90;;;;;;
3.srp;ČET;sendviči;750;B.meso + krumpir + sladoled;1300;sendviči + kokice + sok;1280;3330;2200;1k koraka;70;;;;;;
4.srp;PET;topli sendivči + sok + čoko;1200;hamburgeri + sok;1500;sok + jaje sendvič + bomboni;880;3580;2200;3k koraka;200;;;;;;
5.srp;SUB;sendviči + sok + keksi;1150;miješano varivo + faširanci;725;napolitanke + sendviči + bomboni;1380;3255;2500;1k koraka;90;;;;;;
6.srp;NED;sendviči;850;b.meso i krumpir + napolitanke;1250;sendviči + ceda + čips;1300;3400;2500;1k koraka;70;123 kg;;;;;
7.srp;PON;sendvič;350;lisnato s ostacima + sladoled;1100;sendviči + ostaci;1050;2500;2200;9k koraka;590;;;;;;
8.srp;UTO;hotodogovi;1050;chili con carne + napolitanke;1620;ceda + chili con carne + napolitanke;1630;4300;2200;1k koraka;80;;;;;;
9.srp;SRI;hotodogovi + napolitanke;1030;b.meso + riža;800;sendviči + kokice;1280;3110;2200;4k koraka;270;;;;;;
10.srp;ČET;topli sendviči;800;tjestnina s umakom ;700;sendviči + čajni keksi;1290;2790;2200;7k koraka;500;;;;;;
11.srp;PET;kajgano s hrenovkama + vrhnje;1005;b.meso varivo s graškom + keksi;990;sendviči + keksi;850;2845;2200;3k koraka;200;;;;;;
12.srp;SUB;jaje sendvič;430;big mac tortilje;1650;sladoled + sendviči;950;3030;2200;1k + košenje;640;;;;;;
13.srp;NED;big mac tortilje;550;roštilj;1250;ostaci roštilja;800;2600;2200;2k + usis.;160;123 kg;;;;;
14.srp;PON;sendviči + keksi;970;tortilja omlet;595;kiflica + sendviči + pola tiramisua;1050;2615;2200;2k koraka;170;;;;;;
15.srp;UTO;kajgano s hrenovkama + vrhnje + keksi;1005;alfredo piletina s tjesteninom;1100;ostaci + kitkat;1080;3185;2200;1k koraka;70;;;;;;
16.srp;SRI;burek + kitkat;800;som i restani;950;kurh sendviči + napolitanke;1050;2800;2200;1k koraka;100;;;;;;
17.srp;ČET;topli sendviči + napolitanke;1280;čufte;825;čufte + napolitanke;1175;3280;2200;2k koraka;130;;;;;;
18.srp;PET;sendviči;700;čufte;825;kruh sendviči + kitkat;1210;2735;2200;1k koraka;70;;;;;;
19.srp;SUB;sendviči;700;b.meso u kornfleksu + pire;1100;sendviči + sladoled;1200;3000;2400;1k koraka;60;;;;;;
20.srp;NED;sendviči;700;paprkaš + kolač;1590;sendviči + kolač;1000;3290;2400;2k koraka;140;123 kg;;;;;
21.srp;PON;topli sendvič hot dogovi + ceda;960;paprikaš s graškom;880;sendviči + nutella tost;1150;2990;2200;1k + usis.;150;;;;;;
22.srp;UTO;sendviči + ceda;850;salata s b.mesom + ceda;790;hotdogovi + nutella tost;970;2610;2200;1k koraka;110;;;;;;
23.srp;SRI;hotdogovi + tortilja snack;830;bolonjez;990;bolonjez + sendviči + ceda;1350;3170;2200;5k koraka;350;;;;;;
24.srp;ČET;sendviči;650;minutni i kroketi;1000;sendviči + čokoladica;800;2450;2200;3k koraka;210;;;;;;
25.srp;PET;sendviči;650;b.meso i riža + keksi;1185;sendviči + keksi;1050;2885;2200;2k koraka;180;;;;;;
26.srp;SUB;sendviči;750;grah + keksi;1290;picete + domaćica + sok;1500;3540;2400;5k + usis + ter;430;;;;;;
27.srp;NED;picete + keksi;1100;lungić u umaku i spatzle + domaćica;960;sendviči + keksi;1100;3160;2400;2k + košarka;230;123 kg;;;;;
28.srp;PON;topli sendviči + keksi;1150;grah i kobasica;1320;stromboli i torta;930;3400;2200;1k koraka;120;;;;;;
29.srp;UTO;sendviči + napolitanke;1150;pohano u kokosu + pire + napo;1150;sendviči + napolitanke;1100;3400;2200;1k koraka;80;;;;;;
30.srp;SRI;sendviči + keksi;1200;tortilje;1440;sladoled;300;2940;2200;1k + košenje;630;;;;;;
31.srp;ČET;sendviči + keksi;1200;b.meso + riža + sladoled;1040;sendviči + keksi + ceda;1250;3490;2200;1k koraka;100;;;;;;
1.kol;PET;topli sendviči;825;som i restani;655;pizza + sok;1350;2830;2200;4k + usis.;340;;;;;;
2.kol;SUB;klipići sendviči + ceda;975;svinjski vrat + krumpir + keks sladoled;1110;sendviči + keks sladoled;1260;3345;2400;3k koraka;210;;;;;;
3.kol;NED;lisnato s hrenovkama;770;puretina i pire + sladoled + ceda;1235;topli sendviči + ceda;1025;3030;2400;1k koraka;110;125 kg;;;;;
4.kol;PON;sendviči;750;keksi + lubenica + sloppy joe pizza;1000;sloopy joe pizza + sendviči + keksi;1800;3550;2200;4k koraka;280;;;;;;
5.kol;UTO;pletenica sa sirom;875;bbq b.meso + riža s porilukom;935;keksi + pletenica;1060;2870;2200;2k koraka;160;;;;;;
6.kol;SRI;topli sendviči;825;ćevapi;1210;čips + keksi;830;2865;2200;4k koraka;320;;;;;;
7.kol;ČET;ćevapi + čips;1265;b.meso i neka rolada o tikvica;700;sendviči + čips;1115;3080;2200;3k koraka;200;;;;;;
8.kol;PET;topli sendviči + banana + keksi;1250;kajgano + kobasica + vrhnje + kruh;905;sendviči;800;2955;2200;6k + usis;470;;;;;;
9.kol;SUB;dvopek sendviči;850;pizza;1350;banana + dvopek sendviči + nutella;1330;3530;2400;4k koraka;310;;;;;;
10.kol;NED;kanapei;650;svinjski vrat u umaku + njoki + keksi;1140;sendviči;600;2390;2400;1k koraka;120;125 kg;;;;;
11.kol;PON;topli sendviči;750;sendviči + ribice;1100;ćevapi + sok + sladoled + topli send.;1530;3380;2200;3k + kolodvor;280;;;;;;
12.kol;UTO;pohani kruh i b.meso;1080;sok + sladoled;530;kobasa + krumpiri;810;2420;2200;1k koraka;130;;;;;;
13.kol;SRI;kiflice;750;mcdonalds;1400;sok + topli sendviči;435;2585;2200;9k koraka;560;;;;;;
14.kol;ČET;kifla hrenovka + sok;760;b.meso s tjesteninom u umake + sok;1440;topli sendviči;600;2800;2200;16k + pohorje;1380;;;;;;
15.kol;PET;kajgano hrenovke i vrhnje + čoko smoki;1250;riža i meso;810;sok + pommes + slatikiši + jabuka;940;3000;2200;1k koraka;70;;;;;;
16.kol;SUB;kajgano hrenovke i vrhnje;705;sok + roštilj;1305;bomboni sladoled banana bread;1060;3070;2400;4k koraka;400;;;;;;
17.kol;NED;topli sendviči + sok i bomboni;960;roštilj;920;pizza;1000;2880;2400;3k koraka;200;125 kg;;;;;
18.kol;PON;kiflice + otto&frank;1050;mini tortilje;1400;topli sendviči;815;3265;2200;7k koraka;460;;;;;;
19.kol;UTO;sendviči + sladoled;1100;varivo i kobasica;850;sendviči + keksi;890;2840;2200;6k koraka;440;;;;;;
20.kol;SRI;sendviči + sladoled;1100;lisnato s mljevenim + jaffa cakes;1315;sendviči + ostaci;970;3385;2200;3k koraka;200;;;;;;
21.kol;ČET;sendviči + keksi + lisnato;1010;hamburgeri;900;hamburger ostaci;600;2510;2200;8k koraka;500;;;;;;
22.kol;PET;sendviči + jaffa cakes;1320;b.meso i kroketi;1250;ostaci + merci;750;3320;2200;2k koraka;150;;;;;;
23.kol;SUB;sendviči + merci;1380;čufte;900;kruh kanapei + merci;770;3050;2400;3k koraka;240;;;;;;
24.kol;NED;kruh kanapei;1120;čufte;900;sendviči + nutella send;1000;3020;2400;2k koraka;140;125 kg;;;;;
25.kol;PON;lidl lisnato + čips + čoko;1690;granatir;990;sendviči + čips;1360;4040;2200;3k koraka;230;;;;;;
26.kol;UTO;mlinar burek + jogurt;755;b.meso i riža;850;sendviči + kola + keksi;1340;2945;2200;12k koraka;750;;;;;;
27.kol;SRI;topli sendviči;900;minutni i grašak + keksi;1285;sendviči + keksi;840;3025;2200;2k + košenje;1030;;;;;;
28.kol;ČET;sendviči + keksi;790;palačinke s mljevenim i sirom;800;svašta;1200;2790;2200;4k + terasa;370;;;;;;
29.kol;PET;sendviči + somki + oreo;1790;b.meso u kornfleksu i pire;1105;sendviči + keksi;910;3805;2200;1k koraka;130;;;;;;
30.kol;SUB;sendviči + keksi;890;paprikaš + keksi;1060;sendviči + keksi;890;2840;2400;3k koraka;240;;;;;;
31.kol;NED;sendviči i oreo;910;paprikaš;990;grickalice i kiflice;1000;2900;2400;5k koraka;340;125 kg;;;;;
1.ruj;PON;topli sendviči + oreo;1320;keksi + pastirska pita;850;sendviči + nutella send;1050;3220;2200;2k koraka;140;;;;;;
2.ruj;UTO;sendviči i mini tortilje;1300;b.meso i pekarski krumpir;1150;sendviči + nutella send;950;3400;2200;1k koraka;100;;;;;;
3.ruj;SRI;hotdogovi i torta;1300;varivo + kobasica + sladoled;820;sendviči + sladoled;910;3030;2200;1k koraka;120;;;;;;
4.ruj;ČET;lidl lisnato + čips;1225;burek i sladoled;960;sendviči + čips;1300;3485;2200;5k koraka;340;;;;;;
5.ruj;PET;sendviči;910;som i restani + sladoled;740;topli sendviči;500;2150;2200;3k koraka;210;;;;;;
6.ruj;SUB;sendviči;825;b.meso i riža u rerni;965;ostaci rižoto + merci;1060;2850;2400;4k + košenje;750;;;;;;
7.ruj;NED;sendviči;700;pulled pork sendviči + nutella send.;1250;pulled pork sendviči;900;2850;2400;2k koraka;170;125 kg;;;;;
8.ruj;PON;topli sendviči;825;bolonjez + kolač;1510;sendviči;750;3085;2200;2k koraka;130;;;;;;
9.ruj;UTO;bolonjez;1210;sendviči s piletinom;900;kanapei;750;2860;2200;3k koraka;300;;;;;;
10.ruj;SRI;topli sendviči + kolač;1200;faširanci i varivo + pecivo;700;sendviči + nutella send;1000;2900;2200;1k koraka;90;;;;;;
11.ruj;ČET;sendivči + protein puding;995;b.meso i krumpier iz frajera;1085;sendviči + pahuljice;950;3030;2200;1k koraka;80;;;;;;
12.ruj;PET;sendviči + pahuljice;1050;ćevapi + vrhnje + luk + somun;1085;pahuljice;300;2435;2200;1k koraka;80;;;;;;
13.ruj;SUB;sendviči;600;minutni u umaku + kruh + pahuljice;1095;sendviči;1080;2775;2200;1k koraka;120;;;;;;
14.ruj;NED;sendviči;825;sos i meso;585;sendviči + keksi;1100;2510;2200;1k koraka;110;125 kg;;;;;
15.ruj;PON;sendviči ;720;ostaci od jučer + burek iz lidla;550;burek iz lidla i keksi;1190;2460;2200;1k koraka;90;;;;;;
16.ruj;UTO;hot dogovi;780;čufte + kruh;875;sendviči + krekeri;910;2565;2200;1k koraka;60;;;;;;
17.ruj;SRI;sendviči;750;čufte + kruh;725;sendviči + jaffa cakes;1250;2725;2200;5k koraka;320;;;;;;
18.ruj;ČET;ćevapi + pommes + lepinja + luk;1260;burek sa sirom ;400;krekeri i pašteta;770;2430;2200;8k koraka;580;;;;;;
19.ruj;PET;sendviči;750;pizza;1350;kreker kanapei;500;2600;2200;2k + košenje;660;;;;;;
20.ruj;SUB;sendviči;750;alfredo piletina s tjesteninom;910;ostaci + okrajci;1030;2690;2400;3k + terasa;270;;;;;;
21.ruj;NED;malo nešta;400;svinjski vrat i rizibizi;1200;svinjski vrat i rizibizi + pahuljice;1150;2750;2400;5k koraka;330;124 kg;;;;;
22.ruj;PON;pohani kruh + krekeri i sir;1170;ostaci od vinkovačkih;900;čips sok + kolač;1100;3170;2200;5k koraka;360;;;;;;
23.ruj;UTO;sendviči + cola;950;kajgano salama sir i tost;885;čips smoki i sok;830;2665;2200;3k koraka;220;;;;;;
24.ruj;SRI;topli sendviči + malo čipsa;930;varivo i faširanci;670;dvopek + nutella send + ceda;1630;3230;2200;7k koraka;460;;;;;;
25.ruj;ČET;topli sendviči;990;/;0;pizza + sok + smoki;1800;2790;2200;3k koraka;240;;;;;;
26.ruj;PET;gauda;1150;/;0;varivo i faširanci + čips;1170;2320;2200;9k koraka;560;;;;;;
27.ruj;SUB;sendviči;700;/;0;neki tost sendviči + sok + kiflica;1650;2350;2400;7k koraka;440;;;;;;
28.ruj;NED;sendviči;700;minutni u umake + pecivo;775;pizza + čips;1875;3350;2400;3k koraka;240;124 kg;;;;;
29.ruj;PON;/ ;0;ćevapi + pecivo + vrhnje;960;ceda + sendviči + čips;1705;2665;2200;9k koraka;560;;;;;;
30.ruj;UTO;sendviči;750;bolonjez;960;čips + ostaci;1130;2840;2200;13k koraka;800;;;;;;
1.lis;SRI;sendviči;750;bolonjez;1460;pahuljice i tost;900;3110;2200;5k koraka;330;;;;;;
2.lis;ČET;topli sendviči;900;kokice;500;luks rođendan;1710;3110;2200;4k koraka;310;;;;;;
3.lis;PET;dvopek sendviči + nutella tost;1150;ćevapi + lepinja + pommes;1250;ceda;150;2550;2200;5k koraka;350;;;;;;
4.lis;SUB;sendviči;750;ćufte + pecivo i malo nutelle;1070;sendviči;750;2570;2400;4k koraka;300;;;;;;
5.lis;NED;topli sendviči;825;pizza;1250;ceda + kanapei;850;2925;2400;3k + usis.;240;124 kg;;;;;
6.lis;PON;pohana piletina + pommes;950;lisnato lidl;875;sendviči + malo pahuljica;1030;2855;2200;13k koraka;880;;;;;;
7.lis;UTO;/;0;bečki i riža;580;varivo i faširanci + sendviči + ceda;1740;2320;2200;13k + kolodvor;900;;;;;;
8.lis;SRI;/;0;b.meso i tortelini;740;topli sendviči;1450;2190;2200;14k + kolodvor;930;;;;;;
9.lis;ČET;/;0;/;0;pizza i pommes + ceda;1980;1980;2200;13k koraka;790;;;;;;
10.lis;PET;/;0;ćevapi u pecivu + pommes;1300;varivo + nutella send.;1340;2640;2200;12k koraka;730;;;;;;
11.lis;SUB;/;0;zapečene tortilje;800;zapečene tortilje + manda + grickalice;1140;1940;2400;13k koraka;820;;;;;;
12.lis;NED;/;0;svinjski vrat i rizibizi;785;ostaci ručka + mandarine;1085;1870;2400;5k koraka;370;123 kg;;;;;
13.lis;PON;/;0;zapečene tortilje;880;pizza + domaćica + čips;2150;3030;2200;čišćenje + 6k;510;;;;;;
14.lis;UTO;/;0;bolonjez;1200;čoko + kajgano + hrenovke + vrhnje;1095;2295;2200;9k koraka;570;;;;;;
15.lis;SRI;/;0;bečki i riža + tortice;1055;big tasty + pommes;1260;2315;2200;5k koraka;340;;;;;;
16.lis;ČET;bečki i rizibizi;800;salata s b.mesom;650;sendviči + čokolada;1155;2605;2200;15k koraka;920;;;;;;
17.lis;PET;sendviči + čokolada;885;indeks sendvič;850;sendviči + keks + protein puding;1070;2805;2200;4k koraka;280;;;;;;
18.lis;SUB;sendviči + čaj;900;kroasane;1050;alfredo + picete + cola;2100;4050;2400;1k koraka;100;;;;;;
19.lis;NED;ostaci alfreda + čoko;920;b.meso i pire;885;kiflice;1200;3005;2400;1k koraka;60;124 kg;;;;;
20.lis;PON;kiflice;1000;alfredo piletina;660;sendviči + bananko;930;2590;2200;3k + usis.;250;;;;;;
21.lis;UTO;/;0;bečki i pekarski krumpir + sok;840;kajgano + hrenovke;945;1785;2200;6k koraka;390;;;;;;
22.lis;SRI;/;0;bečki i riža;800;sendviči + mandarina;940;1740;2200;7k koraka;440;;;;;;
23.lis;ČET;burek i jogurt;850;bečki i riža + tortice;1175;ćevapi + palačinka;1440;3465;2200;5k koraka;360;;;;;;
24.lis;PET;kuglice + malo nutelle + ceda;680;ćevapi;1050;sendviči + nutella;950;2680;2200;9k + kolodvor;650;;;;;;
25.lis;SUB;/;0;som i restani + nutella send.;1180;sendviči + nutella + manda + ostaci;1280;2460;2400;1k koraka;60;;;;;;
26.lis;NED;sendviči + slatko;1025;b.meso i krumpir;850;ostaci + čokolada;1060;2935;2400;4k koraka;300;122,5 kg;;;;;
27.lis;PON;/;0;sendviči;750;riža + gricklice;1390;2140;2200;6k koraka;400;;;;;;
28.lis;UTO;/;0;sendviči;750;ćevapi + pommes;1610;2360;2200;7k koraka;430;;;;;;
29.lis;SRI;/;0;piletina i pommes + čoko balls;1300;kajgano sendviči;1115;2415;2200;2k koraka;160;;;;;;
30.lis;ČET;/;0;cordon i rizibizi + tortice;985;zagrebački i pommes + burek sa sirom;1565;2550;2200;11k koraka;670;;;;;;
31.lis;PET;/;0;čoko + cola + tortilja preklapa;1250;sendviči;750;2000;2200;5k koraka;320;;;;;;
1.stu;SUB;keksi i sok;600;bolonjez;960;kod luksa;1250;2810;2400;7k koraka;510;;;;;;
2.stu;NED;sendviči + malo pohanog kruha;1000;b.meso u kornfleksu i pire;1000;b.meso u kornfleksu i pire;1000;3000;2400;5k + kolodvor;450;121,5 kg;;;;;
3.stu;PON;/;0;tortilja preklapa;1155;bolonjez;800;1955;2200;6k koraka;390;;;;;;
4.stu;UTO;/;0;tortilja preklapa;855;zagrebački pommes + čipsa malo;1010;1865;2200;7k koraka;430;;;;;;
5.stu;SRI;bečki + riža + tortica;775;tortilja sendviči;990;hamburgilla;1250;3015;2200;7k koraka;440;;;;;;
6.stu;ČET;menza pizza + tortica;975;paprikaš + protein puding;1280;sendviči;760;3015;2200;5k koraka;350;;;;;;
7.stu;PET;sendviči nutella send.;935;tortlija lazanje;1000;čips i komad pizze;780;2715;2200;3k koraka;210;;;;;;
8.stu;SUB;burek s piletinom + sok;525;b.meso i krumpir;885;sendviči + čokolada;1325;2735;2400;8k koraka;520;;;;;;
9.stu;NED;sendviči + protein puding;900;faširanci i riža + domaćica;960;ostaci + protein puding;970;2830;2400;3k + kolodvor;280;120,5 kg;;;;;
10.stu;PON;/;0;gulaš + sendviči + protein puding;1430;tortilja i protein puding;500;1930;2200;5k koraka;350;;;;;;
11.stu;UTO;/;0;sendviči + čips + protein puding;1300;bečki i pekarski + tortice;1175;2475;2200;6k koraka;380;;;;;;
12.stu;SRI;/;0;pohana piletina i pommes + protein pud.;1025;hamburger + keksi + čips;1780;2805;2200;2k koraka;180;;;;;;
